name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Arts Depot ,Barnet,https://www.artsdepot.co.uk/,E09000003,5 Nether St,North Finchley,,200196017,West Finchley,E05000061,-0.17669950896364456,51.61281643920563,526119.8024075672,192122.6153572988,11/27/2022
Battersea Arts Centre ,Wandsworth,https://www.bac.org.uk/,E09000032,Lavender Hill,,,121015942,Shaftesbury,E05000623,-0.16081376726106006,51.465163177953066,527632.1808812174,175734.04982599977,11/27/2022
Bernie Grant Arts Centre ,Haringey,https://www.berniegrantcentre.co.uk/,E09000014,Town Hall Approach Rd ,Tottenham Green,,10003985252,Tottenham Green,E05000280,-0.07307594316383177,51.587475025787676,533366.6441101524,189489.18429012678,11/27/2022
Chats Palace ,Hackney,https://chatspalace.com/,E09000012,42-44 Brooksby's Walk,,,100023020798,King's Park,E05009379,-0.042683326455879175,51.55026392640687,535582.4029900779,185408.0194131403,11/27/2022
Dugdale  ,Enfield,https://www.dugdalecentre.co.uk/,E09000010,39 London Road,Enfield,,207007119,Grange,E05000200,-0.0811181670912771,51.650317656959146,532626.2550403032,196461.37142700632,11/27/2022
Harrow Arts Centre ,Harrow,https://harrowarts.com/,E09000015,171 Uxbridge Road,Hatch End,,200000319916,Hatch End,E05000291,-0.3638031612556714,51.60848854476744,513179.3026930188,191334.81759205525,11/27/2022
ICA,City of Westminster,http://www.osoarts.org.uk/,E09000033,The Mall,St. James's,,10033601867,St. James's,E05000644,-0.13014825175915012,51.50671003304889,529643.6632261936,180407.1363328871,11/27/2022
Irish Cultural Centre ,Hammersmith and Fulham,https://irishculturalcentre.co.uk/,E09000013,5 Black's Rd,Hammersmith,,34156699,Hammersmith Broadway,E05000256,-0.2255847105141464,51.492313231802655,523061.03561283485,178641.57047991396,11/27/2022
Jacksons Lane ,Haringey,https://www.jacksonslane.org.uk/,E09000014,269A Archway Rd,Highgate,,100023196841,Highgate,E05000272,-0.1454041617417178,51.57668107136611,528387.9775686603,188159.60351250193,11/27/2022
JW3,Camden,https://www.jw3.org.uk/,E09000007,341-351 Finchley Rd,,,5063874,West Hampstead,E05000145,-0.18481928162327335,51.55094029970203,525728.6038373199,185229.1825017311,11/27/2022
OSO Arts Centre,Richmond upon Thames,http://www.osoarts.org.uk/,E09000027,49 Station Rd,,,200002811148,Mortlake and Barnes Common,E05000525,-0.24662565900925684,51.472300953024735,521654.04672705836,176381.36187912204,11/27/2022
Redbridge Drama Centre ,Redbridge,https://redbridgedramacentre.co.uk/RedbridgeDramaCentre.dll/Home,E09000026,Churchfields,South Woodford ,,100022987836,Churchfields,E05011238,0.022659872980982022,51.598452895907776,539963.126887045,190888.73617861874,11/27/2022
Rich Mix ,Tower Hamlets,https://www.richmix.org.uk/,E09000030,35-47 Bethnal Green Rd,,,6150258,Weavers,E05009335,-0.07327520292405387,51.52435933520294,533537.8487533755,182471.72356113477,11/27/2022
Riverside Studios ,Hammersmith and Fulham,https://www.riversidestudios.co.uk/,E09000013,19 Crisp Rd, Hammersmith,,34157767,Hammersmith Broadway,E05000256,-0.228255396863794,51.48890897112333,522884.84292738046,178258.58942920325,11/27/2022
Southbank Centre ,Lambeth,https://www.southbankcentre.co.uk/,E09000022,Belvedere Road,,,200000480101,Bishop's,E05000416,-0.11680000551389069,51.5057680666473,530572.4579920539,180326.16249946103,11/27/2022
The Tabernacle,Kensington and Chelsea,https://www.tabernaclew11.com/,E09000020,35 Powis Square,off Portobello Road,,217070132,Colville,E05009392,-0.2018814067603197,51.516968162397546,524638.7820982584,181422.88900685904,11/27/2022
The Albany ,Lewisham,https://www.thealbany.org.uk/,E09000023,Douglas Way,,,100023569348,New Cross,E05000449,-0.027409246524924713,51.47787709615518,536857.9999720026,177388.66395419365,11/27/2022
The Arts Centre Houndslow ,Hounslow,http://www.hounslowartscentre.co.uk/,E09000018,Â First Floor, Treaty Centre,High Street,10091692850,Hounslow Central,E05000358,-0.3630253474275807,51.4681335261444,513582.3439096689,175730.8163974185,11/27/2022
The Barbican ,City and County of the City of London,https://www.barbican.org.uk/,E09000001,Silk St,,,200000072615,Cripplegate,E05009302,-0.094102588661412,51.51996070862563,532106.1421189584,181944.87633179902,11/27/2022
The Landmark Arts Centre ,Richmond upon Thames,http://www.landmarkartscentre.org/,E09000027,Landmark Arts Centre ,Ferry Road ,Teddington,10024344794,Teddington,E05000530,-0.32462690336409294,51.428086704633984,516350.5854177215,171338.7552636462,11/27/2022
The Library at Willesdon Green,Brent,https://www.brent.gov.uk/your-council/the-library-at-willesden-green/,E09000005,95 High Road,Willesden ,,202149110,Willesden Green,E05000105,-0.22892150078570994,51.54665039984011,522683.28737960896,184677.2601526985,11/27/2022
Watermans Arts Centre,Hounslow,https://www.watermans.org.uk/,E09000018,40 High St,Brentford ,,100023407377,Brentford,E05000347,-0.29804237060391664,51.485768357508256,518049.17845020886,177794.40794052195,11/27/2022
Poplar Union ,Tower Hamlets,https://poplarunion.com/ ,E09000030,2 Cotall St,Poplar,,6194894,Lansbury,E05009325,-0.022982609701648768,51.515599733128866,537052.0760375387,181590.9115676905,11/27/2022
Streatham Space Project ,Lambeth,,E09000022,Sternhold Ave,,,10093376788,Streatham Hill,E05000430,-0.12765539995908917,51.438784937894916,530009.8200507403,172859.7236361663,11/27/2022
Fairfield Halls ,Croydon,https://fairfield.co.uk/,E09000008,Park Ln,,,100022917675,Fairfield,E05011468,-0.09577807383074295,51.3725243869017,532416.1482631542,165550.2287229956,11/27/2022
Stratford Circus Arts Centre ,Newham,https://stratford-circus.com/,E09000025,Theatre Square,,,10008996899,Stratford and New Town,E05000492,0.0017436141571047386,51.542716602881285,538684.7104558783,184652.34545708826,11/27/2022
